"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2018","5,504.68","5,518.32","5,529.30","5,487.56","99.46M","-0.35%"
"01/09/2018","5,523.94","5,491.91","5,525.67","5,491.91","81.28M","0.67%"
"01/08/2018","5,487.42","5,483.47","5,499.15","5,478.92","74.55M","0.30%"
"01/05/2018","5,470.75","5,424.16","5,470.75","5,422.78","78.63M","1.05%"
"01/04/2018","5,413.69","5,360.01","5,430.72","5,360.01","95.45M","1.55%"
"01/03/2018","5,331.28","5,295.31","5,347.63","5,291.89","77.70M","0.81%"
"01/02/2018","5,288.60","5,318.74","5,318.74","5,258.66","68.87M","-0.45%"
"12/29/2017","5,312.56","5,336.15","5,344.05","5,312.56","47.65M","-0.50%"
"12/28/2017","5,339.42","5,367.70","5,370.43","5,331.16","43.73M","-0.55%"
"12/27/2017","5,368.84","5,359.82","5,388.14","5,352.53","42.37M","0.08%"
"12/22/2017","5,364.72","5,371.00","5,385.96","5,355.44","48.20M","-0.39%"
"12/21/2017","5,385.97","5,332.39","5,389.80","5,323.54","72.56M","0.62%"
"12/20/2017","5,352.77","5,377.92","5,382.37","5,338.03","70.81M","-0.56%"
"12/19/2017","5,382.91","5,409.65","5,420.64","5,380.15","65.71M","-0.69%"
"12/18/2017","5,420.58","5,386.40","5,427.87","5,386.40","84.42M","1.33%"
"12/15/2017","5,349.30","5,340.34","5,360.87","5,330.10","162.31M","-0.15%"
"12/14/2017","5,357.14","5,392.00","5,400.28","5,357.14","80.63M","-0.78%"
"12/13/2017","5,399.45","5,415.32","5,429.03","5,393.98","90.32M","-0.51%"
"12/12/2017","5,427.19","5,394.93","5,427.19","5,359.76","83.34M","0.75%"
"12/11/2017","5,386.83","5,411.71","5,411.71","5,382.50","70.90M","-0.23%"
"12/08/2017","5,399.09","5,411.91","5,425.75","5,393.56","93.43M","0.28%"
"12/07/2017","5,383.86","5,374.57","5,396.31","5,365.75","83.68M","0.18%"
"12/06/2017","5,374.35","5,333.32","5,385.53","5,316.55","80.43M","-0.02%"
"12/05/2017","5,375.53","5,382.23","5,392.48","5,349.79","80.25M","-0.26%"
"12/04/2017","5,389.29","5,363.29","5,400.10","5,350.59","84.44M","1.36%"
"12/01/2017","5,316.89","5,374.13","5,378.32","5,299.06","103.00M","-1.04%"
"11/30/2017","5,372.79","5,402.66","5,429.65","5,372.59","131.99M","-0.47%"
"11/29/2017","5,398.05","5,416.49","5,441.69","5,394.89","95.49M","0.14%"
"11/28/2017","5,390.48","5,366.38","5,398.19","5,357.28","68.00M","0.57%"
"11/27/2017","5,360.09","5,378.96","5,408.47","5,359.39","64.04M","-0.56%"
"11/24/2017","5,390.46","5,374.40","5,419.88","5,374.40","56.04M","0.20%"
"11/23/2017","5,379.54","5,339.76","5,391.89","5,330.32","57.08M","0.50%"
"11/22/2017","5,352.76","5,364.61","5,391.01","5,352.76","69.61M","-0.25%"
"11/21/2017","5,366.15","5,335.84","5,385.86","5,326.86","77.09M","0.48%"
"11/20/2017","5,340.45","5,311.28","5,348.15","5,302.85","68.82M","0.40%"
"11/17/2017","5,319.17","5,335.85","5,350.25","5,304.35","91.39M","-0.32%"
"11/16/2017","5,336.39","5,325.41","5,345.23","5,312.87","76.59M","0.66%"
"11/15/2017","5,301.25","5,301.14","5,312.39","5,267.22","97.09M","-0.27%"
"11/14/2017","5,315.58","5,345.30","5,365.64","5,301.57","93.06M","-0.49%"
"11/13/2017","5,341.63","5,382.65","5,384.76","5,301.02","87.19M","-0.73%"
"11/10/2017","5,380.72","5,405.55","5,415.88","5,375.12","87.53M","-0.50%"
"11/09/2017","5,407.75","5,470.18","5,479.70","5,401.43","101.96M","-1.16%"
"11/08/2017","5,471.43","5,487.53","5,496.08","5,452.20","95.46M","-0.17%"
"11/07/2017","5,480.64","5,521.75","5,525.55","5,475.92","80.76M","-0.48%"
"11/06/2017","5,507.25","5,507.07","5,513.31","5,492.90","72.39M","-0.19%"
"11/03/2017","5,517.97","5,513.47","5,521.92","5,498.29","77.45M","0.14%"
"11/02/2017","5,510.50","5,510.96","5,520.81","5,486.24","72.43M","-0.07%"
"11/01/2017","5,514.29","5,524.38","5,536.40","5,514.29","77.63M","0.20%"
"10/31/2017","5,503.29","5,492.63","5,511.25","5,489.41","77.49M","0.18%"
"10/30/2017","5,493.63","5,488.33","5,507.56","5,487.29","69.51M","-0.01%"
"10/27/2017","5,494.13","5,470.34","5,513.53","5,470.24","98.54M","0.71%"
"10/26/2017","5,455.40","5,383.44","5,459.61","5,375.26","93.76M","1.50%"
"10/25/2017","5,374.89","5,399.61","5,416.54","5,364.16","82.96M","-0.37%"
"10/24/2017","5,394.80","5,377.86","5,413.03","5,377.86","76.87M","0.15%"
"10/23/2017","5,386.81","5,377.45","5,408.74","5,367.65","65.67M","0.27%"
"10/20/2017","5,372.38","5,389.48","5,392.09","5,368.21","95.16M","0.08%"
"10/19/2017","5,368.29","5,371.00","5,377.81","5,343.00","89.37M","-0.29%"
"10/18/2017","5,383.81","5,368.09","5,394.23","5,359.68","66.15M","0.42%"
"10/17/2017","5,361.37","5,372.65","5,376.69","5,347.55","66.94M","-0.03%"
"10/16/2017","5,362.88","5,362.53","5,371.62","5,347.61","65.03M","0.21%"
"10/13/2017","5,351.74","5,362.73","5,371.65","5,344.96","76.23M","-0.17%"
"10/12/2017","5,360.81","5,358.42","5,361.92","5,342.69","58.19M","-0.03%"
"10/11/2017","5,362.41","5,367.38","5,367.38","5,338.14","73.65M","-0.02%"
"10/10/2017","5,363.65","5,364.16","5,372.27","5,351.79","61.56M","-0.04%"
"10/09/2017","5,365.83","5,364.81","5,378.51","5,351.68","57.01M","0.11%"
"10/06/2017","5,359.90","5,378.07","5,378.07","5,350.26","68.17M","-0.36%"
"10/05/2017","5,379.21","5,355.91","5,381.74","5,355.91","72.49M","0.30%"
"10/04/2017","5,363.23","5,369.24","5,369.45","5,345.20","82.49M","-0.08%"
"10/03/2017","5,367.41","5,362.75","5,370.89","5,355.30","60.57M","0.32%"
"10/02/2017","5,350.44","5,332.92","5,350.44","5,326.66","70.70M","0.39%"
"09/29/2017","5,329.81","5,297.42","5,329.81","5,284.74","87.87M","0.68%"
"09/28/2017","5,293.77","5,286.05","5,295.27","5,279.10","69.91M","0.22%"
"09/27/2017","5,281.96","5,281.30","5,289.89","5,272.32","76.34M","0.25%"
"09/26/2017","5,268.76","5,263.95","5,274.58","5,255.11","73.03M","0.03%"
"09/25/2017","5,267.13","5,267.99","5,286.83","5,260.46","66.21M","-0.27%"
"09/22/2017","5,281.29","5,277.39","5,295.93","5,271.88","73.66M","0.27%"
"09/21/2017","5,267.29","5,259.02","5,275.42","5,257.44","87.45M","0.49%"
"09/20/2017","5,241.66","5,230.51","5,248.79","5,230.02","67.78M","0.08%"
"09/19/2017","5,237.44","5,223.29","5,238.29","5,219.71","68.99M","0.16%"
"09/18/2017","5,229.32","5,231.99","5,239.88","5,221.56","63.44M","0.30%"
"09/15/2017","5,213.91","5,220.89","5,237.17","5,201.97","267.72M","-0.22%"
"09/14/2017","5,225.20","5,205.18","5,233.54","5,201.65","81.85M","0.15%"
"09/13/2017","5,217.59","5,205.21","5,227.00","5,200.21","89.02M","0.16%"
"09/12/2017","5,209.01","5,192.75","5,219.08","5,184.47","81.81M","0.62%"
"09/11/2017","5,176.71","5,145.78","5,180.25","5,145.78","79.29M","1.24%"
"09/08/2017","5,113.49","5,099.31","5,117.89","5,086.51","86.70M","-0.02%"
