"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2008","12,525.54","12,709.28","12,709.28","12,430.63","","-2.30%"
"03/28/2008","12,820.47","12,594.34","12,874.45","12,507.68","","1.71%"
"03/27/2008","12,604.58","12,618.42","12,621.56","12,475.88","","-0.80%"
"03/26/2008","12,706.63","12,648.97","12,711.78","12,591.01","","-0.30%"
"03/25/2008","12,745.22","12,639.74","12,791.24","12,572.77","","2.12%"
"03/24/2008","12,480.09","12,473.06","12,582.46","12,438.20","","-0.02%"
"03/21/2008","12,482.57","12,331.64","12,496.41","12,308.03","","1.81%"
"03/19/2008","12,260.44","12,142.33","12,374.75","12,142.33","","2.48%"
"03/18/2008","11,964.16","11,828.99","11,995.06","11,793.60","","1.50%"
"03/17/2008","11,787.51","12,089.03","12,132.69","11,691.00","","-3.71%"
"03/14/2008","12,241.60","12,509.81","12,582.57","12,167.09","","-1.54%"
"03/13/2008","12,433.44","12,741.26","12,772.37","12,351.72","","-3.33%"
"03/12/2008","12,861.13","12,841.88","13,071.22","12,799.42","","1.60%"
"03/11/2008","12,658.28","12,392.31","12,674.89","12,352.79","","1.01%"
"03/10/2008","12,532.13","12,716.84","12,777.07","12,527.07","","-1.96%"
"03/07/2008","12,782.80","13,024.61","13,024.61","12,744.52","","-3.27%"
"03/06/2008","13,215.42","13,068.89","13,365.22","13,050.55","","1.88%"
"03/05/2008","12,972.06","12,973.03","13,044.01","12,919.81","","-0.16%"
"03/04/2008","12,992.28","13,080.29","13,110.39","12,883.07","","0.00%"
"03/03/2008","12,992.18","13,412.87","13,413.63","12,992.18","","-4.49%"
"02/29/2008","13,603.02","13,735.44","13,738.56","13,533.25","","-2.32%"
"02/28/2008","13,925.51","13,877.88","13,962.30","13,794.71","","-0.75%"
"02/27/2008","14,031.30","14,007.32","14,105.47","13,956.44","","1.49%"
"02/26/2008","13,824.72","14,036.89","14,053.85","13,803.46","","-0.65%"
"02/25/2008","13,914.57","13,612.31","13,969.18","13,612.31","","3.07%"
"02/22/2008","13,500.46","13,530.19","13,540.62","13,378.72","","-1.37%"
"02/21/2008","13,688.28","13,462.72","13,783.97","13,439.59","","2.84%"
"02/20/2008","13,310.37","13,729.75","13,729.75","13,310.37","","-3.25%"
"02/19/2008","13,757.91","13,761.76","13,853.21","13,691.88","","0.99%"
"02/15/2008","13,622.56","13,508.53","13,666.68","13,356.39","","-0.03%"
"02/14/2008","13,626.45","13,254.59","13,626.45","13,251.86","","4.27%"
"02/13/2008","13,068.30","13,162.95","13,240.26","13,036.62","","0.36%"
"02/12/2008","13,021.96","12,998.87","13,138.28","12,923.42","","0.04%"
"02/08/2008","13,017.24","13,143.08","13,279.52","12,997.88","","-1.44%"
"02/07/2008","13,207.15","13,077.25","13,244.19","12,972.55","","0.82%"
"02/06/2008","13,099.24","13,548.53","13,552.19","13,099.24","","-4.70%"
"02/05/2008","13,745.50","13,806.17","13,821.92","13,665.64","","-0.82%"
"02/04/2008","13,859.70","13,642.60","13,889.24","13,642.60","","2.69%"
"02/01/2008","13,497.16","13,517.74","13,648.39","13,444.08","","-0.70%"
"01/31/2008","13,592.47","13,227.48","13,622.68","13,154.77","","1.85%"
"01/30/2008","13,345.03","13,500.52","13,514.13","13,271.13","","-0.99%"
"01/29/2008","13,478.86","13,246.69","13,506.81","13,224.66","","2.99%"
"01/28/2008","13,087.91","13,482.84","13,501.86","13,087.91","","-3.97%"
"01/25/2008","13,629.16","13,258.77","13,647.16","13,248.89","","4.10%"
"01/24/2008","13,092.78","12,952.50","13,134.77","12,952.50","","2.06%"
"01/23/2008","12,829.06","12,756.31","13,063.78","12,619.78","","2.04%"
"01/22/2008","12,573.05","13,125.23","13,125.23","12,572.68","","-5.65%"
"01/21/2008","13,325.94","13,701.43","13,704.65","13,320.51","","-3.86%"
"01/18/2008","13,861.29","13,577.50","13,902.64","13,365.32","","0.56%"
"01/17/2008","13,783.45","13,596.38","13,803.08","13,472.45","","2.07%"
"01/16/2008","13,504.51","13,796.73","13,841.93","13,500.59","","-3.35%"
"01/15/2008","13,972.63","14,134.91","14,224.00","13,915.15","","-0.98%"
"01/11/2008","14,110.79","14,419.43","14,447.49","14,096.54","","-1.93%"
"01/10/2008","14,388.11","14,546.32","14,584.73","14,388.11","","-1.45%"
"01/09/2008","14,599.16","14,364.71","14,602.65","14,271.57","","0.49%"
"01/08/2008","14,528.67","14,429.30","14,547.80","14,365.86","","0.19%"
"01/07/2008","14,500.55","14,549.38","14,667.85","14,438.61","","-1.30%"
"01/04/2008","14,691.41","15,155.73","15,156.66","14,542.58","","-4.03%"
"12/28/2007","15,307.78","15,413.37","15,413.37","15,240.96","","-1.65%"
"12/27/2007","15,564.69","15,616.41","15,628.31","15,535.51","","-0.57%"
"12/26/2007","15,653.54","15,613.96","15,653.54","15,559.47","","0.65%"
"12/25/2007","15,552.59","15,441.33","15,583.39","15,441.33","","1.94%"
"12/21/2007","15,257.00","15,044.35","15,275.61","14,998.01","","1.50%"
"12/20/2007","15,031.60","15,151.37","15,161.66","15,017.97","","0.01%"
"12/19/2007","15,030.51","15,165.09","15,267.75","15,030.51","","-1.17%"
"12/18/2007","15,207.86","15,099.20","15,301.69","15,004.41","","-0.27%"
"12/17/2007","15,249.79","15,433.30","15,508.50","15,219.07","","-1.71%"
"12/14/2007","15,514.51","15,547.19","15,697.05","15,433.77","","-0.14%"
"12/13/2007","15,536.52","15,818.48","15,833.10","15,532.53","","-2.48%"
"12/12/2007","15,932.26","15,828.65","15,963.43","15,700.15","","-0.70%"
"12/11/2007","16,044.72","16,003.09","16,075.61","15,972.45","","0.76%"
"12/10/2007","15,924.39","16,007.33","16,017.14","15,826.25","","-0.20%"
"12/07/2007","15,956.37","15,992.24","16,107.65","15,948.54","","0.52%"
"12/06/2007","15,874.08","15,782.40","15,898.26","15,740.94","","1.70%"
"12/05/2007","15,608.88","15,418.95","15,621.54","15,365.39","","0.83%"
"12/04/2007","15,480.19","15,613.89","15,683.18","15,446.47","","-0.95%"
"12/03/2007","15,628.97","15,747.47","15,799.69","15,577.69","","-0.33%"
"11/30/2007","15,680.67","15,520.53","15,751.20","15,520.53","","1.08%"
"11/29/2007","15,513.74","15,339.61","15,555.04","15,339.61","","2.38%"
