"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2012","1,295.22","1,305.05","1,312.24","1,291.98","","-0.74%"
"05/17/2012","1,304.86","1,324.82","1,326.36","1,304.86","","-1.51%"
"05/16/2012","1,324.80","1,330.78","1,341.78","1,324.79","","-0.44%"
"05/15/2012","1,330.66","1,338.36","1,344.94","1,328.41","","-0.57%"
"05/14/2012","1,338.35","1,351.93","1,351.93","1,336.61","","-1.11%"
"05/11/2012","1,353.39","1,358.11","1,365.66","1,348.89","","-0.34%"
"05/10/2012","1,357.99","1,354.58","1,365.88","1,354.58","","0.25%"
"05/09/2012","1,354.58","1,363.20","1,363.73","1,343.13","","-0.67%"
"05/08/2012","1,363.72","1,369.16","1,369.16","1,347.75","","-0.43%"
"05/07/2012","1,369.58","1,368.79","1,373.91","1,363.94","","0.04%"
"05/04/2012","1,369.10","1,391.51","1,391.51","1,367.96","","-1.61%"
"05/03/2012","1,391.57","1,402.32","1,403.07","1,388.71","","-0.77%"
"05/02/2012","1,402.31","1,405.50","1,405.50","1,393.92","","-0.25%"
"05/01/2012","1,405.82","1,397.86","1,415.32","1,395.73","","0.57%"
"04/30/2012","1,397.91","1,403.26","1,403.26","1,394.00","","-0.39%"
"04/27/2012","1,403.36","1,400.19","1,406.64","1,397.31","","0.24%"
"04/26/2012","1,399.98","1,390.64","1,402.09","1,387.28","","0.67%"
"04/25/2012","1,390.69","1,372.11","1,391.37","1,372.11","","1.36%"
"04/24/2012","1,371.97","1,366.97","1,375.57","1,366.82","","0.37%"
"04/23/2012","1,366.94","1,378.53","1,378.53","1,358.79","","-0.84%"
"04/20/2012","1,378.53","1,376.96","1,387.40","1,376.96","","0.12%"
"04/19/2012","1,376.92","1,385.08","1,390.46","1,370.30","","-0.59%"
"04/18/2012","1,385.14","1,390.78","1,390.78","1,383.29","","-0.41%"
"04/17/2012","1,390.78","1,369.57","1,392.76","1,369.57","","1.55%"
"04/16/2012","1,369.57","1,370.27","1,379.66","1,365.38","","-0.05%"
"04/13/2012","1,370.26","1,387.61","1,387.61","1,369.85","","-1.25%"
"04/12/2012","1,387.57","1,368.77","1,388.13","1,368.77","","1.38%"
"04/11/2012","1,368.71","1,358.98","1,374.71","1,358.98","","0.74%"
"04/10/2012","1,358.59","1,382.18","1,383.01","1,357.38","","-1.71%"
"04/09/2012","1,382.20","1,397.45","1,397.45","1,378.24","","-1.14%"
"04/05/2012","1,398.08","1,398.79","1,401.60","1,392.92","","-0.06%"
"04/04/2012","1,398.96","1,413.09","1,413.09","1,394.09","","-1.02%"
"04/03/2012","1,413.38","1,418.98","1,419.00","1,404.62","","-0.40%"
"04/02/2012","1,419.04","1,408.47","1,422.38","1,404.46","","0.75%"
"03/30/2012","1,408.47","1,403.31","1,410.89","1,401.42","","0.37%"
"03/29/2012","1,403.28","1,405.39","1,405.39","1,391.56","","-0.16%"
"03/28/2012","1,405.54","1,412.52","1,413.65","1,397.20","","-0.49%"
"03/27/2012","1,412.52","1,416.55","1,419.15","1,411.95","","-0.28%"
"03/26/2012","1,416.51","1,397.11","1,416.58","1,397.11","","1.39%"
"03/23/2012","1,397.11","1,392.78","1,399.18","1,386.87","","0.31%"
"03/22/2012","1,392.78","1,402.89","1,402.89","1,388.73","","-0.72%"
"03/21/2012","1,402.89","1,405.52","1,407.75","1,400.64","","-0.19%"
"03/20/2012","1,405.52","1,409.59","1,409.59","1,397.68","","-0.30%"
"03/19/2012","1,409.75","1,404.17","1,414.00","1,402.43","","0.40%"
"03/16/2012","1,404.17","1,402.55","1,405.88","1,401.47","","0.11%"
"03/15/2012","1,402.60","1,394.17","1,402.63","1,392.78","","0.60%"
"03/14/2012","1,394.28","1,395.95","1,399.42","1,389.97","","-0.12%"
"03/13/2012","1,395.95","1,371.92","1,396.13","1,371.92","","1.81%"
"03/12/2012","1,371.09","1,370.78","1,373.04","1,366.69","","0.02%"
"03/09/2012","1,370.87","1,365.97","1,374.76","1,365.97","","0.36%"
"03/08/2012","1,365.91","1,352.65","1,368.72","1,352.65","","0.98%"
"03/07/2012","1,352.63","1,343.39","1,354.85","1,343.39","","0.69%"
"03/06/2012","1,343.36","1,363.63","1,363.63","1,340.03","","-1.54%"
"03/05/2012","1,364.33","1,369.59","1,369.59","1,359.13","","-0.39%"
"03/02/2012","1,369.63","1,374.09","1,374.53","1,366.42","","-0.32%"
"03/01/2012","1,374.09","1,365.90","1,376.17","1,365.90","","0.62%"
"02/29/2012","1,365.68","1,372.20","1,378.04","1,363.81","","-0.47%"
"02/28/2012","1,372.18","1,367.56","1,373.09","1,365.97","","0.34%"
"02/27/2012","1,367.59","1,365.20","1,371.94","1,354.92","","0.14%"
"02/24/2012","1,365.74","1,363.46","1,368.92","1,363.46","","0.17%"
"02/23/2012","1,363.46","1,357.53","1,364.24","1,352.28","","0.43%"
"02/22/2012","1,357.66","1,362.11","1,362.70","1,355.53","","-0.33%"
"02/21/2012","1,362.21","1,361.22","1,367.76","1,358.11","","0.07%"
"02/17/2012","1,361.23","1,358.06","1,363.40","1,357.24","","0.23%"
"02/16/2012","1,358.04","1,342.61","1,359.02","1,341.22","","1.10%"
"02/15/2012","1,343.23","1,350.52","1,355.87","1,340.80","","-0.54%"
