"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2014","439.95","442.21","442.69","438.87","155.94M","-0.20%"
"04/25/2014","440.81","441.14","442.62","440.16","172.49M","-0.20%"
"04/24/2014","441.69","440.03","443.04","437.89","196.55M","0.86%"
"04/23/2014","437.91","440.41","440.56","437.74","184.15M","-0.90%"
"04/22/2014","441.90","437.64","441.90","437.64","153.00M","1.92%"
"04/17/2014","433.57","433.99","434.51","432.71","68.07M","0.05%"
"04/16/2014","433.36","431.61","433.36","431.60","115.69M","1.01%"
"04/15/2014","429.03","435.06","435.83","428.94","138.47M","-1.27%"
"04/14/2014","434.56","431.76","434.80","429.84","141.12M","0.03%"
"04/11/2014","434.44","436.11","436.21","430.44","185.87M","-1.05%"
"04/10/2014","439.05","443.45","443.80","439.05","171.83M","-0.60%"
"04/09/2014","441.72","440.45","442.61","440.45","171.31M","0.53%"
"04/08/2014","439.38","439.75","440.81","436.56","166.99M","0.03%"
"04/07/2014","439.25","440.47","440.93","438.81","138.31M","-0.87%"
"04/04/2014","443.09","441.71","444.83","441.71","134.26M","0.23%"
"04/03/2014","442.08","443.34","443.71","441.88","149.07M","-0.52%"
"04/02/2014","444.40","444.39","445.61","443.28","173.88M","0.19%"
"04/01/2014","443.55","441.04","443.91","441.04","154.26M","0.74%"
"03/31/2014","440.30","435.77","440.30","435.70","145.49M","1.34%"
"03/28/2014","434.48","433.82","435.19","433.37","135.32M","0.40%"
"03/27/2014","432.75","432.83","433.28","431.69","153.13M","-0.56%"
"03/26/2014","435.18","434.75","437.40","434.67","187.47M","0.20%"
"03/25/2014","434.32","430.18","434.36","430.18","177.84M","1.13%"
"03/24/2014","429.46","435.25","435.64","429.46","185.85M","-1.27%"
"03/21/2014","434.97","434.69","436.56","434.08","204.92M","-0.14%"
"03/20/2014","435.60","435.42","435.82","432.98","155.20M","-0.63%"
"03/19/2014","438.34","437.94","438.94","437.12","146.89M","0.15%"
"03/18/2014","437.68","434.35","438.20","433.38","149.97M","0.56%"
"03/17/2014","435.23","428.82","435.38","428.74","135.68M","1.56%"
"03/14/2014","428.53","427.88","429.14","425.85","175.35M","-0.67%"
"03/13/2014","431.42","434.72","435.26","431.27","134.50M","-0.58%"
"03/12/2014","433.92","436.53","436.53","432.71","171.93M","-0.89%"
"03/11/2014","437.81","438.88","439.41","436.34","169.45M","-0.03%"
"03/10/2014","437.96","437.37","440.49","436.63","188.26M","0.00%"
"03/07/2014","437.94","442.17","443.09","437.54","237.55M","-1.04%"
"03/06/2014","442.53","440.99","442.97","440.99","309.92M","0.73%"
"03/05/2014","439.32","439.71","440.94","439.30","222.71M","-0.01%"
