"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2010","5,885.89","5,872.57","5,900.16","5,838.17","","0.17%"
"03/08/2010","5,875.91","5,891.74","5,894.19","5,865.44","","-0.02%"
"03/05/2010","5,877.36","5,816.19","5,880.25","5,808.36","","1.42%"
"03/04/2010","5,795.32","5,773.86","5,823.11","5,767.65","","-0.39%"
"03/03/2010","5,817.88","5,759.22","5,828.80","5,750.30","","0.72%"
"03/02/2010","5,776.56","5,728.28","5,780.14","5,709.74","","1.10%"
"03/01/2010","5,713.51","5,652.85","5,717.72","5,641.18","","2.06%"
"02/26/2010","5,598.46","5,588.99","5,605.10","5,530.19","","1.20%"
"02/25/2010","5,532.33","5,562.70","5,655.75","5,518.27","","-1.48%"
"02/24/2010","5,615.51","5,622.31","5,639.71","5,572.25","","0.20%"
"02/23/2010","5,604.07","5,715.63","5,732.14","5,584.47","","-1.48%"
"02/22/2010","5,688.44","5,741.00","5,743.89","5,683.61","","-0.59%"
"02/19/2010","5,722.05","5,627.26","5,729.58","5,626.57","","0.73%"
"02/18/2010","5,680.41","5,645.63","5,691.60","5,626.08","","0.57%"
"02/17/2010","5,648.34","5,640.17","5,682.36","5,634.98","","1.01%"
"02/16/2010","5,592.12","5,573.07","5,592.12","5,498.07","","1.47%"
"02/15/2010","5,511.10","5,525.74","5,547.14","5,502.49","","0.19%"
"02/12/2010","5,500.39","5,550.45","5,565.43","5,460.05","","-0.06%"
"02/11/2010","5,503.93","5,562.83","5,580.77","5,454.07","","-0.59%"
"02/10/2010","5,536.37","5,533.71","5,592.27","5,505.37","","0.69%"
"02/09/2010","5,498.26","5,485.31","5,537.97","5,461.51","","0.24%"
"02/08/2010","5,484.85","5,476.47","5,505.06","5,434.40","","0.93%"
"02/05/2010","5,434.34","5,515.69","5,527.00","5,433.02","","-1.79%"
"02/04/2010","5,533.24","5,671.17","5,696.94","5,522.57","","-2.45%"
"02/03/2010","5,672.09","5,715.16","5,733.71","5,656.90","","-0.66%"
"02/02/2010","5,709.66","5,664.25","5,723.20","5,624.61","","0.98%"
"02/01/2010","5,654.48","5,587.50","5,674.21","5,567.72","","0.81%"
"01/29/2010","5,608.79","5,566.03","5,657.87","5,556.19","","1.24%"
"01/28/2010","5,540.33","5,687.10","5,718.81","5,540.33","","-1.82%"
"01/27/2010","5,643.20","5,643.52","5,673.73","5,589.01","","-0.45%"
"01/26/2010","5,668.93","5,593.94","5,675.96","5,574.46","","0.67%"
"01/25/2010","5,631.37","5,662.85","5,693.86","5,624.58","","-1.12%"
"01/22/2010","5,695.32","5,735.68","5,740.87","5,639.49","","-0.90%"
"01/21/2010","5,746.97","5,878.24","5,908.85","5,742.45","","-1.79%"
"01/20/2010","5,851.53","5,963.71","5,972.77","5,832.09","","-2.09%"
"01/19/2010","5,976.48","5,905.33","5,988.80","5,849.67","","0.98%"
"01/18/2010","5,918.55","5,897.63","5,922.93","5,877.65","","0.72%"
"01/15/2010","5,875.97","5,996.56","6,025.36","5,866.84","","-1.89%"
"01/14/2010","5,988.88","5,999.08","6,009.91","5,951.69","","0.43%"
"01/13/2010","5,963.14","5,937.17","5,974.44","5,925.24","","0.34%"
"01/12/2010","5,943.00","6,039.39","6,055.56","5,924.72","","-1.61%"
"01/11/2010","6,040.50","6,057.93","6,094.26","6,031.14","","0.05%"
"01/08/2010","6,037.61","6,028.62","6,053.04","5,972.24","","0.30%"
"01/07/2010","6,019.36","6,016.80","6,037.57","5,961.25","","-0.25%"
"01/06/2010","6,034.33","6,032.39","6,047.57","5,997.09","","0.04%"
"01/05/2010","6,031.86","6,043.94","6,058.02","6,015.67","","-0.27%"
"01/04/2010","6,048.30","5,975.52","6,048.30","5,974.43","","1.53%"
